Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
5671;Convention;2022-11-06T03:00:00+01:00;242.0;1.31723;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-11-06T02:00:00+01:00;288.0;1.63334;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-11-06T01:00:00+01:00;400.0;2.28889;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-02T15:00:00+01:00;;12.86722;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-02T14:00:00+01:00;;8.38778;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-02T13:00:00+01:00;;22.47833;Pré-saturé;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-02T12:00:00+01:00;;6.53611;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-02T11:00:00+01:00;;6.06556;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-02T09:00:00+01:00;;8.85222;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-02T06:00:00+01:00;;1.03723;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-08-09T13:00:00+02:00;384.0;3.05778;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-08-09T12:00:00+02:00;359.0;3.51445;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-08-09T11:00:00+02:00;331.0;1.66723;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-08-09T09:00:00+02:00;351.0;1.68944;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-08-09T07:00:00+02:00;177.0;1.09778;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-08-09T04:00:00+02:00;72.0;0.33111;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-04-06T21:00:00+02:00;583.0;3.42056;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-04-10T06:00:00+02:00;149.0;0.84278;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-08-08T23:00:00+02:00;301.0;1.66834;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-08-08T22:00:00+02:00;347.0;2.23056;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
